"horo","utilisation_cdiscount","pb_rencontre_cdiscount","hors_cdiscount_site_used","nb_achats_mois_cdiscount","nb_achats_mois_autre_ecom","categorie_fav_cdiscount","categorie_fav_autre_ecom","service_client_cdiscount","ergonomie_cdiscount","ameliorer_cdiscount","utilisation_autre_ecom","quel_autre_ecom","freq_achat_autre_ecom","fav_cat_autre_ecom","reco_achat_ligne","fav_carac_ecom","genre","age"
"2020/06/20 7:14:46 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Vente-privée (Veepee);Fnac","4 à 8 fois par mois.","Électroménager;TV / Son / Photo","Amazon","Prix abordable","un homme.","24"
"2020/06/20 7:16:09 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac","1 à 2 fois par mois","Informatique;Jeux vidéo;Sport","Amazon","Facile à utiliser;Prix abordable;Bonne réputation;Conseillé par un proche","un homme.","22"
"2020/06/20 7:17:25 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.","Amazon;Carrefour;AliExpress","1 à 2 fois par mois.","4 à 8 fois par mois.","Électroménager","Meuble déco;Mode Bagage;Jouets","7","6","Rien a changer","","","","","Amazon","Beau design;Facile à utiliser;Grande variété de produits","une femme.","25"
"2020/06/20 7:18:34 PM UTC+2","Oui","Le service client m'a déplu.","Amazon;Vente-privée (Veepee);Carrefour;Wish;AliExpress","2 fois par an","2 à 4 fois par mois.","Courses alimentaires;Meuble déco;Jardin animalerie;Bricolage","Courses alimentaires;Meuble déco;Jardin animalerie;Bricolage","6","6","Rien","","","","","Amazon;Carrefour;AliExpress","Grand nombre d'avis","une femme.","23"
"2020/06/20 7:18:43 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Vente-privée (Veepee);Fnac;boulanger, Zara, Asos, Mango","2 à 4 fois par mois","Électroménager;Mode Bagage","Amazon;Fnac","Beau design;Facile à utiliser;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","24"
"2020/06/20 7:18:59 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Darty;Carrefour;rueducommerce, just-eat","1 fois tous les 3 mois a peu pres","Courses alimentaires;article de soin (huiles essentiels...)","Amazon;Fnac","Prix abordable;Grande variété de produits;possibilité de  livraison dans tt zones","Je ne souhaite pas le préciser.","21"
"2020/06/20 7:19:12 PM UTC+2","Oui","Non","Amazon;Vente-privée (Veepee);Fnac;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Informatique;Jouets","Téléphonie;Jeux vidéo","8","4","L’ergonomi","","","","","Amazon;Cdiscount","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","23"
"2020/06/20 7:20:21 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.;Le service client m'a déplu.","Amazon;Vente-privée (Veepee);AliExpress","2 fois par an","1 à 2 fois par mois.","Électroménager;Meuble déco;Informatique","Informatique;Mode Bagage","3","4","Un meilleur service client serait appréciable.","","","","","Amazon","Facile à utiliser;Prix abordable;Grande variété de produits","une femme.","23"
"2020/06/20 7:25:54 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;AliExpress;PriceMinister (Rakuten)","1 à 2 fois par an.","1 à 2 fois par mois.","Informatique","Informatique","5","3","Le site est moche. Le fond blanc casse les yeux","","","","","Amazon;Rue du commerce","","un homme.","25"
"2020/06/20 7:27:46 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Ebay;AliExpress","2 fois par an","1 à 2 fois par mois.","Électroménager;Téléphonie","Électroménager;Meuble déco;Vetments ","8","4","Simplifier la recherche d'un produit ","","","","","Amazon","Facile à utiliser;Prix abordable;Grand nombre d'avis","une femme.","25"
"2020/06/20 7:28:16 PM UTC+2","Non","","","","","","","","","","Non","","","","","","une femme.","29"
"2020/06/20 7:32:08 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;AliExpress","1 à 2 fois par mois","Meuble déco","Amazon","Beau design;Facile à utiliser;Prix abordable;Bonne réputation","une femme.","28"
"2020/06/20 7:32:32 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee);Fnac;Darty;AliExpress","Moins d'1 fois par an","2 à 4 fois par mois.","Électroménager;Informatique;Jeux vidéo","Courses alimentaires;Informatique;Jeux vidéo","10","6","T'es beau Théo <3 Non en vrai je sais pas :(","","","","","Amazon","Facile à utiliser;Grande variété de produits;Grand nombre d'avis","un homme.","24"
"2020/06/20 7:32:42 PM UTC+2","Oui","Aucun","Amazon;Ebay;Wish","presque jamais (à moins de trouver une offre alléchante)","1 à 2 fois par mois.","Électroménager;Informatique;Téléphonie;Jeux vidéo","Électroménager;Informatique;TV / Son / Photo;Reconditionné;Jeux vidéo","7","6","le délais de livraison","","","","","Amazon","Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","un homme.","23"
"2020/06/20 7:38:20 PM UTC+2","Oui","Aucun","Amazon;Fnac;Carrefour","1 à 2 fois par mois.","2 à 4 fois par mois.","Jeux vidéo","Courses alimentaires;Jeux vidéo","8","8","L’apparence de la 1ère page, trop de produits présentés (sur mobile)","","","","","Amazon;Cdiscount;Fnac;Carrefour","Facile à utiliser;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","25 "
"2020/06/20 7:39:34 PM UTC+2","Oui","Aucun","Amazon;Ebay;Wish","1 à 2 fois par mois.","2 à 4 fois par mois.","TV / Son / Photo;Jeux vidéo;Jouets","Téléphonie;Jeux vidéo;Bébé;Jouets","10","10","Rien ","","","","","Amazon;Cdiscount;Fnac;Leroy Merlin;Wish;AliExpress","Facile à utiliser;Prix abordable;Grand nombre d'avis;Bonne réputation","une femme.","20"
"2020/06/20 7:41:04 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Darty;Carrefour","Occasionnellement ","Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","Amazon","Prix abordable;Grand nombre d'avis;Bonne réputation","une femme.","28"
"2020/06/20 7:41:11 PM UTC+2","Oui","Aucun","Amazon;Fnac","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Informatique;Jeux vidéo;Littérature ","Électroménager;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","5","4","Le site web","","","","","Fnac","Beau design;Grande variété de produits;Grand nombre de fonctionnalités;Bonne réputation;Conseillé par un proche","un homme.","24"
"2020/06/20 7:43:07 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Fnac;Darty;Ebay;PriceMinister (Rakuten)","1 fois par an","1 à 2 fois par mois.","Informatique;TV / Son / Photo;Sport","Courses alimentaires;Électroménager;Meuble déco;Informatique;TV / Son / Photo;Mode Bagage;Bébé;Jouets;Sport","9","7","La présentation. C'est trop chargé en information. ","","","","","Amazon;Vente-privée (Veepee);Fnac;Darty","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation;Conseillé par un proche","une femme.","40"
"2020/06/20 7:47:42 PM UTC+2","Oui","Aucun","Amazon;Fnac;AliExpress","1 à 2 fois par mois.","2 à 4 fois par mois.","Informatique","Informatique","6","4","Visuellement, c'est un peu moche et difficile de s'y retrouver","","","","","Amazon","Beau design;Facile à utiliser;Bonne réputation","Je ne souhaite pas le préciser.","25"
"2020/06/20 8:05:37 PM UTC+2","Non","","","","","","","","","","Oui","Amazon","1 par an si le père nowel veut bien ","Jouets","Sans avis","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","un homme.","24"
"2020/06/20 8:09:34 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Darty;LDLC","1 à 2 fois par mois","Informatique","Amazon;Fnac;Darty;LDLC","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Grand nombre de fonctionnalités;Bonne réputation","un homme.","25"
"2020/06/20 8:11:22 PM UTC+2","Oui","J'ai eu des problèmes avec le service de livraison.","Amazon;E-leclerc;AliExpress;Boulanger /shein","1 fois seulement","1 à 2 fois par mois.","Électroménager","Électroménager;Meuble déco;Vêtements ","7","8","","","","","","E-leclerc;Shein /boulanger","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation;Conseillé par un proche","une femme.","41"
"2020/06/20 8:17:02 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee)","1 à 2 fois par trimestre","2 à 4 fois par trimestre","TV / Son / Photo;Reconditionné;Jeux vidéo","Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","8","6","","","","","","Amazon;Cdiscount;Vente-privée (Veepee)","Facile à utiliser;Prix abordable","un homme.","23"
"2020/06/20 8:19:49 PM UTC+2","Oui","Aucun","Amazon;Fnac;Darty;AliExpress","2-4 fois par an","1 à 2 fois par mois.","Électroménager;Meuble déco;Informatique","Électroménager;Meuble déco;Literie;Jardin animalerie;Bricolage;Téléphonie","6","6","","","","","","Amazon;Cdiscount;Fnac;Darty","Prix abordable;Grande variété de produits;Grand nombre d'avis","un homme.","25"
"2020/06/20 8:20:07 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac","Une fois tout les 2/3mois","Sport;Les petites bricoles inutiles qu'on trouve pas trop en sortant de chez sois. Genre un support pour téléphone ou un câble, du matériel pour faire du sport etc","J'ai fait que Amazon et Fnac. La livraison top mais je suis pas fan de l'expérience utilisateur sur ces sites (UX)","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","un homme.","24"
"2020/06/20 8:21:23 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Ebay;Wish;AliExpress","1 à 2 fois par mois","Informatique;Téléphonie;Jeux vidéo","Amazon;Fnac;Ebay;AliExpress","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","un homme.","25"
"2020/06/20 8:25:43 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee);AliExpress","1 à 2 fois par mois.","4 à 8 fois par mois.","Meuble déco;Informatique","Meuble déco;Informatique","8","4","L’aspect du site ","","","","","Cdiscount;Vente-privée (Veepee)","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","20"
"2020/06/20 8:28:48 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Bon prix, decatlon , super u","1 à 2 fois par mois","Courses alimentaires;Vêtements , linge de maison, cadeaux ","Amazon;Fnac;Wish;Bon prix, Decathlon ","Facile à utiliser;Prix abordable;Grande variété de produits;Conseillé par un proche","une femme.","42"
"2020/06/20 8:34:16 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;EMP","1 fois tous les 2 mois environ","Électroménager;Meuble déco;Informatique;Téléphonie;Jeux vidéo;Vêtements/chaussures","Amazon;Fnac;EMP","Beau design;Prix abordable;Bonne réputation","une femme.","24"
"2020/06/20 8:46:16 PM UTC+2","Oui","Aucun","Amazon","1 fois par an","1 à 2 fois par mois.","Informatique","Informatique","6","6","","","","","","Amazon","Facile à utiliser","un homme.","52"
"2020/06/20 9:00:24 PM UTC+2","Oui","J'ai eu des problèmes avec le service de livraison.","Amazon;Fnac;ASOS ","2 fois par an","4 à 8 fois par mois.","Électroménager;Jardin animalerie;Informatique;Jeux vidéo","Jardin animalerie;Informatique;Jeux vidéo;Vêtements ","8","6","","","","","","Amazon;Cdiscount;Fnac","Grande variété de produits","une femme.","25"
"2020/06/20 9:03:18 PM UTC+2","Oui","Aucun","Amazon;Fnac;Carrefour","Rarement ","1 à 2 fois par mois.","Courses alimentaires;Bricolage;Informatique;Téléphonie;Reconditionné;Jeux vidéo","Courses alimentaires;Téléphonie;Reconditionné;Jeux vidéo","8","7","","","","","","Fnac;Darty;Ebay","Beau design;Facile à utiliser;Prix abordable;Grand nombre d'avis;Bonne réputation;Conseillé par un proche","une femme.","25"
"2020/06/20 9:06:51 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;AliExpress","1 à 2 fois par mois","Meuble déco","Amazon","Beau design;Facile à utiliser;Prix abordable;Bonne réputation","une femme.","28"
"2020/06/20 9:23:11 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee)","1 à 2 fois par mois.","2 à 4 fois par mois.","Électroménager;Jeux vidéo;Jouets","Meuble déco;Vêtements ","6","9","","","","","","Amazon;Cdiscount;Vente-privée (Veepee)","Facile à utiliser","une femme.","38"
"2020/06/20 9:24:38 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.;L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee)","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Meuble déco;Jardin animalerie","Électroménager;Meuble déco","4","4","Ergonomie","","","","","Amazon","Facile à utiliser;Prix abordable;Grande variété de produits","une femme.","43"
"2020/06/20 9:29:43 PM UTC+2","Oui","Aucun","Amazon;E-leclerc","3 fois par an.","2 à 4 fois par mois.","Courses alimentaires;Électroménager","Courses alimentaires;Bricolage","7","7","La disponibilité de certains produits","","","","","Amazon;E-leclerc","Facile à utiliser;Prix abordable;Grande variété de produits","une femme.","60"
"2020/06/20 9:36:09 PM UTC+2","Oui","Aucun","Amazon;Carrefour;Leroy Merlin;E-leclerc;Wish","1 à 2 fois par mois.","4 à 8 fois par mois.","Jouets","Courses alimentaires;Électroménager;Meuble déco;Bricolage;Informatique;Jeux vidéo","9","5","Que la livraison soit moins chère. ","","","","","Amazon;Cdiscount;Wish","Facile à utiliser;Prix abordable;Conseillé par un proche","une femme.","12 "
"2020/06/20 9:39:09 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.","Amazon;Vente-privée (Veepee);Carrefour","1 à 2 fois par mois.","1 à 2 fois par mois.","Informatique","Informatique;Téléphonie","6","5","Améliorer l'application mobile Android ","","","","","Amazon;Cdiscount;Vente-privée (Veepee);modanisa","Beau design;Facile à utiliser;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","26"
"2020/06/20 9:44:52 PM UTC+2","Non","","","","","","","","","","Non","","","","","","Je ne souhaite pas le préciser.","25"
"2020/06/20 10:08:13 PM UTC+2","Oui","Aucun","Amazon","0","1 à 2 fois par mois.","Électroménager;Jouets","Électroménager;Meuble déco;Jouets","8","7","Rien","","","","","Amazon;Cdiscount;Vente-privée (Veepee)","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis","une femme.","32"
"2020/06/20 10:17:39 PM UTC+2","Oui","L'ergonomie du site me déplait.","Vente-privée (Veepee);Fnac;Darty;Wish;Birchbox","Très rarement ","Rarement ","Électroménager;Meuble déco;Jardin animalerie;Informatique;Jeux vidéo","Électroménager;Meuble déco;Jardin animalerie;Informatique;Jeux vidéo;Sport","4","2","Le site, les prix et la com","","","","","Aucun préférer les magasins ","Beau design;Facile à utiliser;Prix abordable;Grand nombre d'avis;Affiner les critères ","une femme.","24"
"2020/06/20 10:18:45 PM UTC+2","Oui","Aucun","Amazon;AliExpress","2 à 3 fois par an","2 à 4 fois par mois.","Électroménager;Meuble déco;Informatique;Jouets","Électroménager;Meuble déco;Bricolage;Jouets","10","8","","","","","","Amazon;Cdiscount","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis","une femme.","36"
"2020/06/20 10:20:31 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);E-leclerc;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Meuble déco;Literie;Informatique;Téléphonie;Jouets","Électroménager;Meuble déco;Literie;Informatique;Téléphonie;Jouets","9","9","Apparence du Site ","","","","","Amazon;Cdiscount;AliExpress","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","28"
"2020/06/20 10:27:26 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Fnac;Darty;Ebay;Carrefour;Leroy Merlin;E-leclerc;Wish;AliExpress;PriceMinister (Rakuten)","1 à 2 fois par mois.","1 à 2 fois par mois.","Informatique","Informatique","7","7","","","","","","Amazon","Facile à utiliser","une femme.","22"
"2020/06/20 10:27:41 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac","3/4 fois par ans","Informatique;TV / Son / Photo;Jeux vidéo;Bébé;Jouets","aucun en particulier, ça dépend du produit recherché","Facile à utiliser;Prix abordable;Bonne réputation","un homme.","23"
"2020/06/20 10:28:51 PM UTC+2","Oui","Aucun","Amazon;AliExpress","2 à 3 fois par an","2 à 4 fois par mois.","Électroménager;Meuble déco;Informatique;Jouets","Électroménager;Meuble déco;Bricolage;Jouets","10","8","","","","","","Amazon;Cdiscount","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis","une femme.","36"
"2020/06/20 10:28:57 PM UTC+2","Oui","Aucun","Amazon;Fnac;Darty;E-liquide","1 fois par an","1 à 2 fois par mois.","Électroménager;Informatique","Électroménager;Meuble déco;Informatique;Téléphonie;Cigarette électronique ","8","8","","","","","","Amazon;Cdiscount;Fnac;Rue du commerce ","Facile à utiliser;Prix abordable;Bonne réputation","une femme.","23"
"2020/06/20 10:37:06 PM UTC+2","Oui","Délai de renvoi assez court ","Amazon;Vente-privée (Veepee);Zalando","1 ou 2 fois dans l'année ","1 à 2 fois par mois.","Électroménager","Électroménager;Meuble déco;Vêtement ","7","8","","","","","","Amazon;Cdiscount;Vente-privée (Veepee);Zalando","Prix abordable;Bonne réputation","une femme.","28"
"2020/06/20 10:44:51 PM UTC+2","Oui","Aucun","Amazon;Fnac","1 fois dans ma vie","1 à 2 fois par mois.","Électroménager;Informatique;Vêtements/livres","Informatique;Livres","6","8","","","","","","Amazon","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","22"
"2020/06/20 10:49:34 PM UTC+2","Oui","Aucun","Amazon;Fnac;Leroy Merlin","1 fois par an","1 à 2 fois par mois.","Auto Moto","Auto Moto","5","9","","","","","","Amazon;Leroy Merlin","Prix abordable;Grand nombre d'avis;Bonne réputation","un homme.","25"
"2020/06/20 10:53:10 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;AliExpress","2 à 4 fois par mois","Électroménager;Literie;Jardin animalerie;Bricolage;TV / Son / Photo","Amazon;AliExpress","Prix abordable;Grande variété de produits;Grand nombre d'avis;Grand nombre de fonctionnalités","une femme.","41"
"2020/06/20 10:58:37 PM UTC+2","Oui","Aucun","Amazon;Fnac;Darty;Ebay;Carrefour;Leroy Merlin;AliExpress","1 fois tous les 3 mois","2 à 4 fois par mois.","Électroménager;Meuble déco;Informatique","Courses alimentaires;Électroménager;Meuble déco;Informatique;TV / Son / Photo","9","9","","","","","","Amazon","Facile à utiliser;Grand nombre d'avis","un homme.","53"
